Character	Positive Counterpart	Negative Counterpart
David Caruso	Margaret Thatcher	Nicolas Cage
David Hasselhoff	Basil Fawlty	Rachel Green
Dave Lee Roth	Mariah Carey	Anthony Scaramucci
David Letterman	Dame Edna Everage	Edmund Blackadder
David Lynch	Albert Einstein	Frida Kahlo
Dalton Trumbo	David Mamet	Dame Edna Everage
David Mamet	Angelina Jolie	Adam Sandler
Dean Martin	Lady Gaga	Buck Rogers
Deepak Chopra	Adam Smith	Bridget Jones
Dexter Morgan	Hannibal Lecter	Becky Sharp
Dian Fossey	Harvey Dent	Judge Judy Sheindlin
Dick Cheney	Jabba the Hutt	Mata Hari
Dolly Parton	Edith Piaf	Charles Foster Kane
Don Vito Corleone	Miss Jane Marple	Joseph Stalin
Don King	Madonna	J. Edgar Hoover
Donald Duck	Eliot Ness	Ann Coulter
Donald Trump	Imelda Marcos	Gordon Ramsay
Dorian Gray	Naomi Campbell	Oscar Wilde
Christian Grey	Bruce Wayne	Joan Crawford
Doris Day	Karen Carpenter	Donald Trump
Dorothy Parker	George Bernard Shaw	Selma Bouvier
Dr. John Watson	Ron Weasley	Marge Simpson
Professor James Moriarty	Dr. Greg House	Julia Roberts
Eddie Murphy	Mae West	Eminem
Eddie Van Halen	Franz Liszt	Tina Turner
Eddy Merckx	Britney Spears	Bill Clinton
Edith Piaf	Dolly Parton	Jean-Paul Sartre
Edward Hopper	Cary Grant	Emily Dickinson
Elizabeth Taylor	Angelina Jolie	Jerry Springer
Elmer Fudd	Eliot Ness	Jenna Maroney
Elmore Leonard	Christopher Hitchens	Courtney Love
Elvis Presley	Bono	Bridget Jones
Emily Dickinson	Sappho	Edward Hopper
Eminem	Dame Edna Everage	Eddie Murphy
Emperor Constantine	Queen Victoria	Julius Caesar
Ming The Merciless	Queen Victoria	Emperor Palpatine
Emperor Palpatine	Julius Caesar	Cersei Lannister
Erasmus	Frank Capra	Phoebe Buffay
Eric Clapton	Charlie Parker	Cameron Diaz
Ernest Hemingway	Dorothy Parker	Errol Flynn
Errol Flynn	Xena	Ernest Hemingway
Euclid	Lisbeth Salander	Andrew Lloyd Webber
Evel Knievel	Allan Quatermain	Amelia Earhart
Federico Fellini	Dean Martin	 
Fidel Castro	Joan of Arc	Julius Caesar
Flash Gordon	Amelia Earhart	George Clooney
Florence Nightingale	Mother Teresa	Flash Gordon
Forrest Gump	Florence Nightingale	Fredo Corleone
Francis Bacon	Batman	Frida Kahlo
Francis Crick	Ann Coulter	Muhammad Ali
Frank Capra	Erasmus	Phoebe Buffay
Frank Columbo	Ann Coulter	Steve Bannon
Frank Gehry	Bjork	Eddie Murphy
Frank Lloyd Wright	Frank Gehry	Ayn Rand
Frank Sinatra	Bono	Dian Fossey
Frank Zappa	Hunter S. Thompson	Gloria Steinem
Franz Liszt	Tina Turner	Peter Griffin
Fred Astaire	John Travolta	 
Fredo Corleone	George W. Bush	Phoebe Buffay
Garry Kasparov	Euclid	Dian Fossey
Garry Trudeau	Christopher Hitchens	Cameron Diaz
Garth Brooks	Taylor Swift	David Hasselhoff
Gary Larson	Barbra Streisand	David Byrne
Genghis Khan	Sarah Palin	Mr. Edward Hyde
George Bernard Shaw	Dorothy Parker	Archie Bunker
George Clooney	Bridget Jones	Flash Gordon
George Costanza	Charles Darwin	Ayn Rand
George Foreman	Modesty Blaise	 
George Harrison	Antonio Vivaldi	Cameron Diaz
George Orwell	Dalton Trumbo	Edith Piaf
George Soros	Imelda Marcos	El Chappo
George W. Bush	Ellen DeGeneres	David Beckham
George Washington	Cardinal Richelieu	Blanche DuBois
Gerard Manley Hopkins	Lou Reed	 
Megyn Kelly	Glenn Beck	 
Bill O'Reilly	Bridget Jones	Christopher Hitchens
Glenn Beck	Megyn Kelly	Nigel Farage
Gloria Steinem	Captain Ahab	Ann Coulter
Mikhail Gorbachev	George Orwell	Norma Desmond
Gordon Ramsay	Helen Keller	Donald Trump
Grace Kelly	Fred Astaire	Paris Hilton
Greta Garbo	Angelina Jolie	Jackson Pollock
Groucho Marx	Eddie Murphy	Imelda Marcos
Gwyneth Paltrow	Hugh Grant	Cameron Diaz
H.P. Lovecraft	Albert Einstein	Dian Fossey
Han Solo	Amelia Earhart	John Constantine
Jabba the Hutt	Maleficent	Al Capone
Hannibal Lecter	Dame Edna Everage	Auric Goldfinger
Harry Houdini	Catwoman	Napoleon Bonaparte
Harry Potter	Bertie Wooster	Liz Lemon
Lord Voldemort	Bill Gates	Cersei Lannister
Albus Dumbledore	Maleficent	Bobby Fischer
Heath Ledger	Meryl Streep	John Belushi
Helen Keller	Eliot Ness	 
Henry Ford	Michael O'Leary	Tina Fey
Henry James	Anton Chekov	 
Henry Kissinger	Karl Rove	Coco Chanel
Henry Miller	Madonna	Larry Flynt
Hercule Poirot	Sherlock Holmes	Rachel Green
Hillary Clinton	Harvey Dent	Tina Fey
Homer	Emily Dickinson	Charles Dickens
Homer Simpson	Atticus Finch	Bridget Jones
O.J. Simpson	Modesty Blaise	Tom Ripley
Mark Fuhrman	 	 
Howard Hughes	Imelda Marcos	Harvey Dent
Howard Stern	Benny Hill	Amy Schumer
Hugh Grant	Sarah Palin	Andrew Lloyd Webber
Hugh Hefner	Colonel Sanders	Courtney Love
Hugh Jackman	Charles Atlas	Ellen DeGeneres
Hulk Hogan	Rocky Balboa	 
Humphrey Bogart	Jimmy Cagney	Tina Fey
Imelda Marcos	Oprah Winfrey	The Joker
Indiana Jones	Allan Quatermain	Ann Coulter
Jack Bauer	James Bond	Xena
Jack Kerouac	Lara Croft	Charlie Harper
Jack Nicholson	Holly Golightly	Oedipus Rex
Jack The Ripper	Cleopatra	Genghis Khan
Jackie Chan	Annie Oakley	Arthur Conan Doyle
Jackson Pollock	Lizzy Bennet	Russell Crowe
James Bond	Napoleon Solo	Cersei Lannister
Auric Goldfinger	Imelda Marcos	Dr. Julius No
Ernst Stavro Blofeld	Don Vito Corleone	Cersei Lannister
Dr. Julius No	Marie Curie	Le Chiffre
Sir Hugo Drax	Cleopatra	Charles Foster Kane
Le Chiffre	Don Vito Corleone	Cersei Lannister
James Dean	Russell Crowe	Lara Croft
James Franco	Ben Affleck	Jenna Maroney
James Joyce	Jackson Pollock	Courtney Love
James T. Kirk	Helen Keller	Mayor Joe Quimby
Jamie Oliver	Fredo Corleone	 
Jane Austen	David Hasselhoff	Mary Poppins
Janis Joplin	Mick Jagger	Lindsay Lohan
Jar Jar Binks	Audrey Hepburn	Austin Powers
Jason Bourne	Catwoman	Michael Myers
Jay Leno	Johnny Carson	 
Jay Z	Amy Schumer	Donald Trump
JD Salinger	Dame Edna Everage	Howard Hughes
Beyoncé	Antonio Vivaldi	Kim Kardashian
Jeff Koons	Dalton Trumbo	Madonna
Jenna Jameson	Jim Jones	Elizabeth Taylor
Jeremy Clarkson	Mae West	Rush Limbaugh
Piers Morgan	Emma Bovary	Karl Lagerfeld
Jerry Lee Lewis	Jimi Hendrix	 
Jerry Lewis	Robin Williams	Lucille Ball
Jerry Seinfeld	Gary Larson	Bridget Jones
Jerry Springer	Kevin Smith	Elizabeth Taylor
Jesse Jackson	Jimmy Carter	Angelina Jolie
Jim Jones	Jimmy Cagney	Morgana Le Fay
Jim Morrison	Emily Dickinson	Hunter S. Thompson
Jimi Hendrix	Angelina Jolie	Jim Morrison
Jimmy Cagney	Humphrey Bogart	Marie Curie
Jimmy Carter	Christiane Amanpour	Charlie Brown
Jimmy Stewart	Bridget Jones	Garth Brooks
Joan Rivers	Jon Stewart	Ellen DeGeneres
Joaquin Phoenix	Al Pacino	Angela Merkel
Joe Biden	 	 
Joe Louis	Albus Dumbledore	Phoebe Buffay
Johann Sebastian Bach	Dolly Parton	Atticus Finch
John Belushi	Jerry Lewis	Bridget Jones
John Dillinger	Emma Bovary	Jack The Ripper
J. Edgar Hoover	Eliot Ness	Margaret Thatcher
John Grisham	Dan Brown	 
John Keats	Lord Byron	Gwyneth Paltrow
John Lennon	Leonard Cohen	Tina Fey
John Maynard Keynes	Marie Curie	 
John McCain	Anthony Bourdain	Cersei Lannister
John McEnroe	Lady Gaga	Bill O'Reilly
John Travolta	Grace Kelly	Hugh Jackman
John Wayne	James Bond	Judge Judy Sheindlin
Johnny Cash	Justin Timberlake	Billie Holiday
Jon Stewart	Robin Williams	Tina Fey
Jonathan Swift	Mae West	Al Gore
Joseph Goebbels	Britney Spears	Harvey Dent
Joseph Stalin	Maleficent	Pontius Pilate
Judas Iscariot	Jabba the Hutt	Emma Bovary
Judge Judy Sheindlin	Ellen Ripley	Bill O'Reilly
Julia Child	Cary Grant	Michelle Obama
Julia Roberts	Hugh Grant	Bridget Jones
Justin Bieber	Barbie	Peter Pan
Justin Timberlake	Dolly Parton	Harvey Dent
Kim Kardashian	Karl Rove	Paris Hilton
Kanye West	John Grisham	Bridget Jones
Karen Carpenter	Bono	Kate Moss
Karl Lagerfeld	Federico Fellini	Ann Coulter
Karl Marx	Jean-Paul Sartre	Dana Scully
Karl Rove	Kim Kardashian	Frank Underwood
Kate Moss	Hugh Grant	Paris Hilton
Keith Moon	Tina Turner	Hunter S. Thompson
Keith Richards	Edith Piaf	Ozzy Osbourne
Kevin Smith	Amy Schumer	Adam Sandler
Kim Philby	Tony Soprano	Emma Bovary
King Lear	Julius Caesar	Whitney Houston
Kobe Bryant	LeBron James	Julia Roberts
Kurt Cobain	Miles Davis	Virginia Woolf
Kurt Vonnegut	Garry Trudeau	Edna Krabappel
Lance Armstrong	Scarlett O'Hara	Richard Nixon
Lara Croft	Natasha Romanova	Barack Obama
Larry David	Joan Rivers	Alan Partridge
Larry Flynt	Megyn Kelly	Hugh Hefner
Larry King	Sarah Palin	Emperor Palpatine
Lee Harvey Oswald	Eliot Ness	 
Gordon Gekko	Bernard Madoff	Cersei Lannister
Lee Marvin	Lois Lane	Clint Eastwood
Leni Riefenstahl	Doris Day	Joseph Goebbels
Lenny Bruce	Roseanne Barr	Adam Sandler
Leo Tolstoy	Mahatma Gandhi	Angelina Jolie
Lex Luthor	Emma Bovary	"Wilson ""Kingpin"" Fisk"
Lindsay Lohan	Megan Fox	Charlie Parker
Linus Torvalds	Wilbur Wright	Joan Crawford
Lisa Simpson	Michelle Obama	Commissioner James Gordon
Lois Lane	Xena	Bob Woodward
Lord Byron	Emily Dickinson	Bruce Wayne
Lou Reed	Gerard Manley Hopkins	Barbra Streisand
Louis Armstrong	Ella Fitzgerald	 
Luciano Pavarotti	Frank Sinatra	Bridget Jones
Ludwig Van Beethoven	Louis Armstrong	Dorothy Parker
Luis Suarez	Bruce Lee	Lindsay Lohan
Luke Skywalker	Aung San Suu Kyi	Mahatma Gandhi
Niccolò Machiavelli	Queen Elizabeth I	Saul Goodman
Madonna	Lucille Ball	Jeff Koons
Mae West	Sarah Silverman	Larry Flynt
Mahatma Gandhi	Mother Teresa	Bobby Kennedy
Norma Desmond	Courtney Love	Mikhail Gorbachev
Mao Tse-tung	Carl Sagan	Cersei Lannister
Marcel Duchamp	Pablo Picasso	Lara Croft
Marco Pierre White	Don Draper	Diana Ross
Marco Polo	Albus Dumbledore	 
Margaret Thatcher	Ted Cruz	Dian Fossey
Marge Simpson	Florence Nightingale	Commissioner James Gordon
Mariah Carey	Bing Crosby	Lindsay Lohan
Marilyn Monroe	Jayne Mansfield	Charlie Parker
Mark Twain	Dame Edna Everage	Lou Reed
Marlene Dietrich	Catwoman	 
Marlon Brando	Greta Garbo	"Jeff ""Comic Book Guy"" Albertson"
Martha Stewart	Henry Ford	Nurse Ratched
Martin Luther King	Michelle Obama	Giacomo Casanova
Mata Hari	Jenna Jameson	Bernard Madoff
Matt Drudge	Alan Sugar	Cleopatra
Megan Fox	Barry White	Paris Hilton
Mel Brooks	Steve Martin	Elizabeth Taylor
Mel Gibson	Christian Bale	Sarah Palin
Meryl Streep	Heath Ledger	 
Mad Max Rockatansky	Noah	Arya Stark
Michael Bay	Michael Phelps	Tina Turner
Michael Corleone	Cleopatra	Keyser Söze
Michael Jackson	Miles Davis	Emily Dickinson
Michael Jordan	Wayne Gretzky	 
Michael Moore	Michelle Obama	Charles Foster Kane
Michael O'Leary	Donald Trump	Amy Schumer
Michael Phelps	Michael Jordan	Sarah Palin
Michelangelo	John McEnroe	Emily Dickinson
Michelle Obama	Lisa Simpson	Confucius
Mick Jagger	Miles Davis	Selena Gomez
Mickey Mouse	R2D2	Julia Child
Mike Tyson	Thor Odinson	Xena
Miles Davis	Ella Fitzgerald	Austin Powers
Miss Jane Marple	Reginald Jeeves	Lois Lane
Moses	Aung San Suu Kyi	Confucius
Mother Teresa	Pope Francis	Angelina Jolie
Muhammad Ali	Mae West	Pablo Picasso
Benito Mussolini	J. Edgar Hoover	Joan Crawford
Adolf Hitler	Queen Elizabeth I	Benito Mussolini
Napoleon Bonaparte	Oprah Winfrey	Charles Foster Kane
Ned Flanders	Bertie Wooster	Angelina Jolie
Neil Armstrong	Amelia Earhart	 
Nelson Mandela	Obi-wan Kenobi	 
Neville Chamberlain	Anne Frank	Fredo Corleone
Newt Gingrich	Elon Musk	Angelina Jolie
Nigella Lawson	Catwoman	 
Nikola Tesla	Leonardo Da Vinci	Emily Dickinson
Noah	Joan of Arc	Daniel Day-Lewis
Noam Chomsky	Carl Sagan	Angelina Jolie
Noël Coward	Mark Twain	Ann Coulter
Norman Rockwell	Orson Welles	Gwyneth Paltrow
Nostradamus	Obi-wan Kenobi	 
Obi-wan Kenobi	Mr. Miyagi	Emily Dickinson
Mr. Miyagi	Aung San Suu Kyi	Yoda
Oprah Winfrey	Napoleon Bonaparte	Bridget Jones
Orson Welles	Pablo Picasso	Lindsay Lohan
Wilbur Wright	Margaret Thatcher	Orville Wright
Orville Wright	Wilbur Wright	 
Oscar Wilde	Dame Edna Everage	Dorian Gray
Ozzy Osbourne	Tina Fey	Keith Richards
P. T. Barnum	Benjamin Franklin	 
Pablo Picasso	Leonardo Da Vinci	Bridget Jones
Pac Man	Jack The Ripper	 
Niccolò Paganini	Wolfgang Amadeus Mozart	 
Pamela Anderson	Benedict Arnold	Paris Hilton
Paris Hilton	Cameron Diaz	Ryan Reynolds
Patch Adams	Peter Griffin	Angelina Jolie
Paul McCartney	Dolly Parton	Sherlock Holmes
Perry Mason	Scipio Africanus	Coco Chanel
Pete Sampras	Katniss Everdeen	Roger Federer
Peter Griffin	Barbra Streisand	Seth MacFarlane
Peter Jackson	Beatrix Potter	Bill Gates
Brian Griffin	Lisa Simpson	Hunter S. Thompson
Peter Pan	Catwoman	Luis Suarez
Spider-Man	Batman	Tina Fey
Peter Parker	Lisa Simpson	Bill Gates
Doctor Stephen Strange	Aung San Suu Kyi	Steve Jobs
"Matt ""Daredevil"" Murdock"	Catwoman	George Armstrong Custer
"Wilson ""Kingpin"" Fisk"	Lex Luthor	Catherine The Great
Plato	Dame Edna Everage	Noam Chomsky
Adrian Monk	Jane Goodall	Harvey Dent
Pontius Pilate	George Smiley	Tina Fey
Pope Benedict XVI	Lisa Simpson	Alan Partridge
Pope Francis	Mahatma Gandhi	 
Quentin Tarantino	Mark Twain	Imelda Marcos
Ralph Nader	Atticus Finch	Queen Victoria
Grigori Rasputin	Lucifer	Cersei Lannister
Ray Kroc	Peter Jackson	Dian Fossey
Raymond Chandler	Dame Edna Everage	Eliot Ness
Richard Branson	Warren Buffett	Rachel Green
Richard Dawkins	Ann Coulter	Karl Lagerfeld
Richard Nixon	Condoleezza Rice	Dick Cheney
Richie Rich	Croesus	Paris Hilton
Ricky Martin	Dolly Parton	John Grisham
Ridley Scott	Federico Fellini	Pamela Anderson
Ringo Starr	Jamie Oliver	 
Robbie Williams	Dolly Parton	Kanye West
Robert De Niro	Daniel Day-Lewis	Cameron Diaz
Robert Redford	Tina Fey	Mick Jagger
Robin Hood	Malcolm X	Catwoman
Robin Williams	Joan Rivers	Vincent Van Gogh
Robinson Crusoe	Helen Keller	Salman Rushdie
Rocky Balboa	Hulk Hogan	Sarah Palin
Roger Federer	Katniss Everdeen	Pete Sampras
Ron Weasley	Ellen DeGeneres	Sterling Archer
Rudy Giuliani	Hillary Clinton	Bill O'Reilly
Rupert Murdoch	William Randolph Hearst	Mata Hari
Rush Limbaugh	Sean Hannity	Ann Coulter
Russell Crowe	Will Smith	Greta Garbo
Salman Rushdie	Voltaire	Emily Dickinson
