Character	Positive Counterpart	Negative Counterpart
Jesse Pinkman	Katniss Everdeen	Heath Ledger
Gustavo Fring	Judge Judy Sheindlin	Cardinal Richelieu
Don Draper	Greta Garbo	Stephen Hawking
Leroy Jethro Gibbs	George Smiley	Tina Fey
Tony DiNozzo	Bridget Jones	Adam Sandler
Timothy McGee	Condoleezza Rice	Bill Gates
Tyrion Lannister	Saga Norén	Bilbo Baggins
Cersei Lannister	Jack Donaghy	Catherine The Great
Jaime Lannister	Aung San Suu Kyi	Charles Foster Kane
Eddard Stark	Don Vito Corleone	Queen Elizabeth I
Chewbacca	Olive Oyl	Arnold Schwarzenegger
C-3PO	Reginald Jeeves	Bridget Jones
R2D2	James Bond	Cersei Lannister
Marty McFly	Aung San Suu Kyi	Antonio Vivaldi
Doc Emmett Brown	Marie Curie	Professor Hans Zarkov
Biff Tannen	 	 
George McFly	Reginald Jeeves	Liz Lemon
Dirty Harry Callahan	Wolverine	Xena
Sonny Crockett	Michelle Obama	Bill O'Reilly
Inspector Endeavour Morse	William Shakespeare	Katharine Hepburn
Rico Tubbs	Nigella Lawson	Johnny Depp
Jean-Luc Picard	Virginia Woolf	Daniel Day-Lewis
Commander Data	Walter White	Saga Norén
Edward Cullen	Scarlett O'Hara	Jimmy Cagney
Alan Partridge	Olive Oyl	Larry David
Dr. Greg House	Saga Norén	Sherlock Holmes
Edmund Blackadder	Jack Sparrow	Dame Edna Everage
Baldrick	Dr. John Watson	Paris Hilton
Lord Percy Percy	Lt. George Colthurst St Barleigh	Jenna Maroney
Lt. George Colthurst St Barleigh	Lord Percy Percy	Jenna Maroney
The Scarlet Pimpernel	Jason Bourne	 
Leonardo Da Vinci	Nikola Tesla	 
Hamlet	Virginia Woolf	Harvey Dent
Polonius	Archie Bunker	 
Ophelia	Atticus Finch	Bridget Jones
Romeo Montague	Frodo Baggins	Juliet Capulet
Juliet Capulet	Dexter Morgan	Bridget Jones
Adolf Eichmann	J. Edgar Hoover	Ayn Rand
Bruce Banner	Alan Turing	Emily Dickinson
Frasier Crane	Sideshow Bob	Blanche DuBois
Niles Crane	Frasier Crane	Katharine Hepburn
Freddy Krueger	Tim Burton	Dame Edna Everage
Keyser Söze	Julius Caesar	Lisbeth Salander
Daphne Moon	Shrek	Miss Jane Marple
Moe Szyslak	Atticus Finch	Pocahontas
Barney Gumble	Fredo Corleone	Liz Lemon
Fred Flintstone	Barney Rubble	Dian Fossey
Barney Rubble	Fred Flintstone	 
Michael Myers	Tweety Pie	Jason Voorhees
Jason Voorhees	Tweety Pie	Michael Myers
Barney Stinson	Tony DiNozzo	Cleopatra
"Erik ""Magneto"" Lehnsherr"	Dexter Morgan	Cersei Lannister
Professor Charles Xavier	Hannibal Lecter	Angelina Jolie
Rocket Raccoon	Emma Bovary	Deadpool
Groot	Xena	Chuck Norris
Bugs Bunny	Dexter Morgan	 
Shrek	Groot	Amy Schumer
Porky Pig	Edward Scissorhands	Bridget Jones
Yosemite Sam	John McEnroe	Judge Judy Sheindlin
Wile E. Coyote	Mr. Bean	Julia Roberts
George Smiley	Leroy Jethro Gibbs	 
Captain America	Xena	Morpheus
Bilbo Baggins	Aung San Suu Kyi	Frodo Baggins
Frodo Baggins	Bilbo Baggins	Edith Piaf
Samwise Gamgee	Ann Coulter	Bilbo Baggins
John McClane	Helen Keller	Daniel Boone
Optimus Prime	Katniss Everdeen	Edward Scissorhands
Jack Sparrow	Edmund Blackadder	Mata Hari
Edward Scissorhands	Phoebe Buffay	Michael Jackson
Beetlejuice	Anthony Bourdain	Ann Coulter
Olive Oyl	Chewbacca	Emma Bovary
Popeye	Frodo Baggins	Dolly Parton
Pepé Le Pew	Giacomo Casanova	Dian Fossey
Sideshow Bob	Frasier Crane	Bridget Jones
John Merrick	Maximus Decimus Meridius	Courtney Love
Ed Wood	Dian Fossey	Inspector Jacques Clouseau
Maximus Decimus Meridius	Jason Bourne	Dorothy Parker
Gore Vidal	Virginia Woolf	George Washington
Truman Capote	Gore Vidal	Joan Rivers
Spartacus	James T. Kirk	Cersei Lannister
Mr. Bean	Wile E. Coyote	Emily Dickinson
Monsieur Hulot	Bridget Jones	Mr. Bean
Derek Zoolander	Dorian Gray	Rachel Green
Dr. Strangelove	Peter Parker	Blanche DuBois
E.T.	Groot	Edith Piaf
Dr. Evil	Emma Bovary	Sideshow Bob
Scott Evil	Wesley Crusher	Bridget Jones
Bane	Sylvester Stallone	Selma Bouvier
Naomi Campbell	Melania Trump	Donald Trump
Sarah Jessica Parker	 	 
Kevin Bacon	Daniel Day-Lewis	 
Hans Gruber	Anna Karenina	Cardinal Richelieu
Antonio Salieri	Hans Gruber	Morgana Le Fay
Saruman the White	Sauron	Mata Hari
Gandalf the Grey	Dame Edna Everage	Woody Guthrie
Sauron	Morgana Le Fay	Lucifer
Maleficent	Cleopatra	General Zod
Norman Bates	Violet Baudelaire	Jim Jones
Nigel Tufnel	Eddie Van Halen	Phoebe Buffay
Judge Joe Dredd	Aung San Suu Kyi	Theodore Roosevelt
Wesley Crusher	Miss Jane Marple	Bob Dylan
Sarah Silverman	Stephen Colbert	Roseanne Barr
Tweety Pie	Pac Man	 
Sylvester the Cat	Eliot Ness	Lizzy Bennet
Ronald McDonald	Spongebob Squarepants	 
The HamBurglar	The Joker	Imelda Marcos
Osama Bin Laden	Emma Bovary	The Joker
Saddam Hussein	Emma Bovary	Ming The Merciless
Ayatollah Khomeini	Savonarola	Angelina Jolie
Leonardo DiCaprio	Marilyn Monroe	Jared Kushner
Jay Gatsby	Harriet Tubman	Niles Crane
Michael J. Fox	Mae West	Al Gore
Ellen Ripley	Leroy Jethro Gibbs	Bjork
Clarice Starling	Hillary Clinton	Sonny Crockett
Scarlett O'Hara	Rocky Balboa	Jenna Maroney
Modesty Blaise	Sydney Bristow	Francis Crick
Sarah Connor	John Rambo	Ann Coulter
Condoleezza Rice	Madeleine Albright	Severus Snape
Donald Rumsfeld	Dexter Morgan	Ivanka Trump
Lisbeth Salander	Euclid	Lindsay Lohan
Princess Leia Organa	Dian Fossey	Christian Bale
Hermione Granger	Euclid	Daenerys Targaryen
Sydney Bristow	Hulk Hogan	Ophelia
Dana Scully	Hermione Granger	Mike  Pence
Marie Curie	Dana Scully	Jimmy Cagney
Tim Burton	The Joker	Frida Kahlo
Coco Chanel	Dian Fossey	Cardinal Richelieu
Fox Mulder	Matt Groening	Selma Bouvier
Bruce Willis	Robert Downey Jr.	Hedda Gabler
Robert Downey Jr.	Mel Brooks	Bridget Jones
Michael Schumacher	Napoleon Solo	Ayn Rand
Oscar Pistorius	Kobe Bryant	Boudicca
Bernard Madoff	Reginald Jeeves	Mata Hari
Julian Assange	Larry Flynt	Coco Chanel
Tom Ripley	Cary Grant	Mata Hari
Mrs. Doubtfire	Ophelia	Confucius
Kim Jong-Il	Kim Jung-un	Bridget Jones
Kim Jung-un	Imelda Marcos	Kim Jong-Il
Simon Pegg	Tina Fey	Bill Gates
Anne Boleyn	Eliot Ness	Emma Bovary
King Henry VIII	Kim Jong-Il	Bridget Jones
Angela Merkel	Queen Elizabeth I	Batman
Silvio Berlusconi	Christian Grey	Lindsay Lohan
Princess Fiona	Ophelia	John McCain
Victor Frankenstein	Harvey Dent	Anne Boleyn
Count Dracula	Lucifer	Natasha Romanova
Jim Carrey	Robin Williams	Jenna Maroney
General George Patton	Ellen Ripley	Don Vito Corleone
John F. Kennedy	Che Guevara	Anna Karenina
Nicolas Sarkozy	Catherine The Great	Donald Trump
Dominique Strauss-Kahn	Lex Luthor	Anna Karenina
Alexander the Great	Emma Bovary	Saddam Hussein
Pocahontas	Thor Odinson	Chelsea Manning
Amelia Earhart	Charles Lindbergh	Jenna Maroney
Charles Lindbergh	Allan Quatermain	 
Frida Kahlo	Albert Einstein	Selma Bouvier
Judy Garland	Ella Fitzgerald	Charlie Parker
Ella Fitzgerald	Ray Charles	Audrey Hepburn
Sylvia Plath	Miss Jane Marple	Leonard Cohen
Nicolas Cage	Amy Winehouse	David Caruso
Malcolm X	Moses	Dian Fossey
Rosa Parks	Maximus Decimus Meridius	 
Sean Penn	Russell Crowe	Diana Ross
Mickey Rourke	Angelina Jolie	Keith Moon
Elton John	The Joker	Joan Rivers
Bradley Manning	Edward Snowden	Chelsea Manning
Chelsea Manning	Bradley Manning	Pocahontas
Tim Berners-Lee	Nikola Tesla	Cameron Diaz
Edward Snowden	Chelsea Manning	Bradley Manning
Sergey Brin	Larry Page	Liz Lemon
Larry Page	Marie Curie	Sergey Brin
Montgomery Burns	Croesus	Ayn Rand
Waylon Smithers	Condoleezza Rice	Larry King
Mayor Joe Quimby	Sarah Palin	James T. Kirk
Chief Clarence Wiggum	Neville Chamberlain	Bridget Jones
Lionel Hutz	Bridget Jones	Inspector Jacques Clouseau
Troy McClure	Colin Farrell	Bridget Jones
Rainier Luftwaffe Wolfcastle	Arnold Schwarzenegger	Sarah Palin
Krusty the Clown	Ellen DeGeneres	Rick Deckard
Edna Krabappel	Captain Ahab	 
Kent Brockman	Bridget Jones	Ron Burgundy
Hans Moleman	Nigella Lawson	Eliot Ness
Selma Bouvier	Jack Bauer	Ann Coulter
Principal Seymour Skinner	Simone de Beauvoir	General George Patton
Nelson Muntz	Sarah Palin	Donald Duck
Groundskeeper Willie MacDougal	Sarah Connor	Oedipus Rex
"Thomas ""Neo"" Anderson"	Morpheus	Dana Scully
Morpheus	Scarlett O'Hara	Captain America
Trinity	Xena	Clint Eastwood
Agent Smith	"Thomas ""Neo"" Anderson"	Nurse Ratched
Glenn Quagmire	Tina Turner	Christian Grey
Uri Geller	Annie Oakley	Saddam Hussein
Jeffrey Lebowski	Bridget Jones	Lenny Bruce
Iggy Pop	Quentin Tarantino	Stormy Daniels
Mark Zuckerberg	Nikola Tesla	Liz Lemon
Roy Batty	Conan the Barbarian	Imelda Marcos
Rick Deckard	Aung San Suu Kyi	Humphrey Bogart
Dr. Eldon Tyrell	Mark Zuckerberg	Nurse Ratched
Thor Odinson	Hellboy	Julia Roberts
Loki Laufeyson	Bridget Jones	Lord Voldemort
Richard B. Riddick	Xena	Jack The Ripper
Alan Turing	Leonardo Da Vinci	 
Conan the Barbarian	Red Sonja	Wolverine
Red Sonja	Conan the Barbarian	Xena
"Jeff ""Comic Book Guy"" Albertson"	Lara Croft	Barry White
King Richard III	Queen Elizabeth I	Sauron
Queen Elizabeth I	Miss Jane Marple	Barack Obama
Dr. Henry Jekyll	Reginald Jeeves	Joan of Arc
Mr. Edward Hyde	Xena	The Joker
Travis Bickle	Dian Fossey	Harvey Dent
Tyler Durden	Steve Jobs	Joan of Arc
Sam Winchester	Simone de Beauvoir	Scott Evil
Dean Winchester	Tina Fey	Bill O'Reilly
Jesus Christ	Sam Winchester	Angelina Jolie
Lucifer	Morgana Le Fay	Sauron
Eric Cartman	Sam Spade	Bridget Jones
Agent Phil Coulson	Ron Weasley	Sarah Connor
Nick Fury	Tyrion Lannister	Judge Judy Sheindlin
Russell Brand	Joan Rivers	Al Gore
Jeremy Paxman	Simone de Beauvoir	Noam Chomsky
Boris Johnson	Bridget Jones	Cary Grant
Ebenezer Scrooge	Croesus	Dian Fossey
Wilkins Micawber	Lt. George Colthurst St Barleigh	Lindsay Lohan
Fagin	Cleopatra	Dick Cheney
The Artful Dodger	Darth Maul	Pippi Longstocking
Uriah Heap	Tony Montana	Nurse Ratched
Bob Cratchit	Jesus Christ	 
Tiny Tim Cratchit	Phoebe Buffay	Charlie Brown
Jean-Paul Sartre	Thomas Aquinas	Edith Piaf
Simone de Beauvoir	Virginia Woolf	Jean-Paul Sartre
Monica Lewinsky	Bill O'Reilly	Lindsay Lohan
Colonel Kurtz	Moses	Xena
Jor El	Albert Einstein	Angelina Jolie
Kal El	Superman	 
General Zod	Scarlett O'Hara	Dr. Strangelove
Lizzy Bennet	Lara Croft	Dante Alighieri
Mr. Darcy	Bertie Wooster	Blanche DuBois
John Constantine	Romeo Montague	Tina Fey
Hellboy	Thor Odinson	Judge Judy Sheindlin
Charlie Harper	Carrie Bradshaw	Hugh Hefner
Snake Plissken	Conan the Barbarian	Trinity
Severus Snape	Aung San Suu Kyi	Batman
Borat	Jay Leno	Phoebe Buffay
Ali G	Jon Stewart	Jane Austen
Jack Reacher	Samson	Dian Fossey
Arthur Dent	Bertie Wooster	Jane Austen
Del Boy Trotter	Lizzy Bennet	Cary Grant
Captain William Bligh	John Wilkes Booth	Ayn Rand
Fletcher Christian	Harriet Tubman	Spartacus
Frank Underwood	Hannibal Lecter	Becky Sharp
Napoleon Solo	Violet Baudelaire	Barney Stinson
Quasimodo	Ann Coulter	John Merrick
Ilya Kuryakin	Aung San Suu Kyi	Al Gore
Wolverine	Judge Judy Sheindlin	Jack The Ripper
Deadpool	Jack Bauer	Mae West
Green Lantern	Violet Baudelaire	Kenny G
Superman	Kal El	Angelina Jolie
Ryan Reynolds	Brad Pitt	Paris Hilton
Coriolanus Snow	Queen Elizabeth I	Sauron
Don Quixote	Emma Bovary	Norman Bates
Baron Munchausen	Adam Sandler	Margaret Thatcher
Hunter S. Thompson	Christopher Hitchens	Lindsay Lohan
Lando Calrissian	Bridget Jones	Mark Fuhrman
Bob Woodward	Nancy Drew	Carl Bernstein
Carl Bernstein	Bob Woodward	Miss Jane Marple
G. Gordon Liddy	Kellyanne Conway	Ariel Sharon
Anthony Scaramucci	Imelda Marcos	Harvey Weinstein
Melania Trump	Naomi Campbell	Severus Snape
Christiane Amanpour	Nancy Drew	Commissioner James Gordon
Bobby Kennedy	Christiane Amanpour	Mahatma Gandhi
James Comey	Eliot Ness	Christiane Amanpour
Robert Mueller	Helen Keller	Carl Bernstein
Sean Hannity	Dorothy Parker	Rush Limbaugh
Kellyanne Conway	Bridget Jones	Archie Bunker
Harvey Weinstein	Don King	Bette Midler
Kevin Spacey	Cary Grant	Cleopatra
Stormy Daniels	Catwoman	Jerry Springer
Deep Throat	Miss Jane Marple	Richard Nixon
Gianni Versace	Beatrix Potter	Al Pacino
Reince Priebus	Waylon Smithers	Ivanka Trump
Mike  Pence	Reginald Jeeves	Sarah Connor
Tom Wolfe	Carrie Bradshaw	Steve Bannon
Steve Bannon	Miss Jane Marple	Nigel Farage
Jared Kushner	Buddy Holly	Cameron Diaz
Ivanka Trump	Meghan Markle	Donald Rumsfeld
Jeff Sessions	Miss Jane Marple	Mike  Pence
Ted Cruz	Che Guevara	Dian Fossey
Thanos	Hillary Clinton	O.J. Simpson
Emmanuel Macron	Bill Clinton	Rachel Green
Nigel Farage	Bridget Jones	Steve Bannon
Elon Musk	Lex Luthor	Anne Boleyn
Jeff Bezos	Rupert Murdoch	Anne Boleyn
Lars von Trier	Bjork	Tupac Shakur
Bjork	Karen Carpenter	Alan Sugar
El Chappo	Pablo Escobar	Madonna
Pablo Escobar	Imelda Marcos	El Chappo
King David	Spider-Man	Anna Karenina
King Solomon	Queen Elizabeth I	Al Capone
Rick Sanchez	Archimedes	Ayn Rand
Morty Smith	Florence Nightingale	Bob Dylan
Barbie	Tyra Banks	Ryan Reynolds
Johnny Carson	Ellen DeGeneres	David Hasselhoff
Billie Holiday	Ella Fitzgerald	Johnny Cash
James Brown	Bono	Tina Turner
Stevie Wonder	Karen Carpenter	Homer
Boy George	Tina Fey	RuPaul
Buddy Holly	Tina Fey	David Byrne
Cher	Whitney Houston	Al Gore
Amy Schumer	Ellen DeGeneres	Howard Stern
Lucille Ball	Benny Hill	Phoebe Buffay
Jerry Maguire	Anne Frank	Kent Brockman
Joe DiMaggio	Serena Williams	Don King
Katharine Hepburn	Christian Bale	Ellen Ripley
Janet Jackson	Michael Jackson	Stormy Daniels
Jayne Mansfield	Che Guevara	Marilyn Monroe
RuPaul	Jerry Springer	Conchita Wurst
Sammy Davis Jr.	Robert Downey Jr.	Selena Gomez
Ray Charles	Miles Davis	Helen Keller
Lady Gaga	Mariah Carey	Gianni Versace
Whitney Houston	Bono	Amy Winehouse
Rihanna	Whitney Houston	Pontius Pilate
Rafael Nadal	Novak Djokovic	Serena Williams
Amy Winehouse	Bono	Lady Gaga
Serena Williams	Modesty Blaise	Rafael Nadal
Tupac Shakur	Edith Piaf	Lars von Trier
Christina Aguilera	Amy Winehouse	Gianni Versace
Dr. Dre	Imelda Marcos	Lars von Trier
Princess Diana	Grace Kelly	Ryan Reynolds
Ellen DeGeneres	Jay Leno	Joan Rivers
Katy Perry	Mae West	James Franco
Selena Gomez	Bridget Jones	Mick Jagger
Johnny Depp	Bjork	Edgar Allan Poe
Cristiano Ronaldo	Rafael Nadal	Selena Gomez
Tom Brady	Serena Williams	Confucius
Tyra Banks	Sonny Crockett	Doris Day
Zac Efron	Jay Leno	Grace Kelly
Novak Djokovic	Rafael Nadal	Cameron Diaz
Usain Bolt	Kobe Bryant	 
Ashton Kutcher	Ellen DeGeneres	Zac Efron
Ariana Grande	Bono	Whitney Houston
Winona Ryder	Emma Bovary	Bobby Fischer
Conchita Wurst	Lizzy Bennet	Boy George
Scarlett Johansson	Tyra Banks	Indiana Jones
Caitlyn Jenner	Albus Dumbledore	Grace Kelly
Marc Jacobs	Ridley Scott	Bridget Jones
LeBron James	Trinity	Donald Trump
Barbra Streisand	Bette Midler	Bob Dylan
Grace Jones	Bruce Lee	Scarlett Johansson
Diana Ross	Bono	Bridget Jones
Liza Minnelli	Tina Fey	Charlie Parker
Joan Crawford	Daniel Day-Lewis	Bette Davis
Bette Davis	Bono	Joan Crawford
Kylie Minogue	Bridget Jones	Ryan Reynolds
Bette Midler	Barbra Streisand	Adam Sandler
George Michael	Bjork	Cristiano Ronaldo
Harvey Milk	Margaret Mead	Tupac Shakur
Freddie Mercury	Lady Gaga	Steve Ballmer
Morrissey	Bob Dylan	Coco Chanel
Chris Rock	Lenny Bruce	Stormy Daniels
Kylo Ren	Emma Bovary	Christian Bale
Taylor Swift	Bono	Audrey Hepburn
Meghan Markle	Noam Chomsky	Emma Bovary
Martin Luther	Joan of Arc	Fletcher Christian
Isaac Newton	Galileo Galilei	Miss Havisham
Ronald Reagan	Bridget Jones	Jeff Sessions
Friedrich Nietzsche	William Shakespeare	Norma Desmond
Galileo Galilei	Isaac Newton	Boudicca
Oliver Cromwell	Eliot Ness	Xena
Edgar Allan Poe	Leonard Cohen	Frida Kahlo
Joseph Smith	Joan of Arc	Julian Assange
Immanuel Kant	Friedrich Nietzsche	 
Richard Wagner	Pyotr Ilyich Tchaikovsky	Roseanne Barr
Pyotr Ilyich Tchaikovsky	Richard Wagner	Emily Dickinson
Socrates	Karl Marx	Christiane Amanpour
Robert E. Lee	Don Vito Corleone	Sarah Palin
King Arthur	Optimus Prime	Margaret Thatcher
Sir Lancelot	King Arthur	Emma Bovary
Merlin	Jabba the Hutt	Daphne Moon
Morgana Le Fay	Sauron	Miss Havisham
Johann von Goethe	Simone de Beauvoir	Leo Tolstoy
Thomas Aquinas	Simone de Beauvoir	Buddha
René Descartes	Buddha	Dana Scully
Harry S. Truman	John Wilkes Booth	Boudicca
Joan of Arc	Martin Luther	Stormy Daniels
John Calvin	Martin Luther	Angelina Jolie
William the Conqueror	Hillary Clinton	Auric Goldfinger
Saint Peter	Joan of Arc	Oedipus Rex
Saint Paul	Ann Coulter	Ralph Nader
James Cook	Clarice Starling	 
Queen Victoria	Julius Caesar	Martha Stewart
Thomas Jefferson	Simone de Beauvoir	Polonius
Johannes Gutenberg	Archimedes	 
Pythagoras	Bob Dylan	Daphne Moon
Archimedes	Bjork	Victor Meldrew
Louis Pasteur	Archimedes	Olive Oyl
Anne Frank	Aung San Suu Kyi	Jackson Pollock
J.R.R. Tolkein	Albert Einstein	 
Otto von Bismarck	Reginald Jeeves	Cersei Lannister
Sophocles	Friedrich Nietzsche	Frida Kahlo
Oedipus Rex	Dexter Morgan	Boudicca
Gregor Mendel	Frank Columbo	Rihanna
Sitting Bull	Perry Mason	Marie Curie
George Armstrong Custer	Aung San Suu Kyi	Donald Trump
Alexander Fleming	Frank Columbo	Pippi Longstocking
Wernher von Braun	Clarice Starling	Oliver Cromwell
Alfred Nobel	Marie Curie	Eliot Ness
Rembrandt	Beatrix Potter	Ted Cruz
Ferdinand Magellan	Helen Keller	Grigori Rasputin
Grace Hopper	Ann Coulter	Daffy Duck
Margaret Mead	Eleanor Roosevelt	Daffy Duck
Sappho	Emily Dickinson	Dante Alighieri
Harriet Tubman	Spartacus	 
Catherine The Great	Nicolas Sarkozy	Cersei Lannister
Annie Oakley	Tina Fey	 
Eleanor Roosevelt	Noam Chomsky	Annie Oakley
Jane Goodall	Frank Columbo	 
Madeleine Albright	Noah	Roseanne Barr
Emmeline Pankhurst	Harvey Milk	Gloria Steinem
Boudicca	Scipio Africanus	Red Sonja
Natasha Romanova	Lara Croft	Sauron
Lady Macbeth	Joseph Stalin	Becky Sharp
Lord Macbeth	Harriet Tubman	The Joker
Shylock	Jack Sparrow	Morgana Le Fay
Jane Eyre	Noam Chomsky	Edith Piaf
Arya Stark	Bear Grylls	Miss Havisham
Katniss Everdeen	Optimus Prime	 
Mary Poppins	Florence Nightingale	Confucius
Daenerys Targaryen	Eliot Ness	Hermione Granger
Pippi Longstocking	Forrest Gump	Liz Lemon
Becky Sharp	Catwoman	Frank Underwood
Tess Durbeyfield	Dana Scully	Timothy McGee
Nancy Drew	Ann Coulter	Bob Woodward
Eliza Doolittle	Oedipus Rex	Stormy Daniels
Holly Golightly	Katharine Hepburn	Christian Bale
Miss Havisham	Croesus	Morgana Le Fay
Buffy Summers	Chuck Norris	Marie Curie
Helen of Troy	Catwoman	Charlie Chaplin
Nurse Ratched	 	 
Cinderella	Eleanor Roosevelt	Jimmy Cagney
Violet Baudelaire	Ellen Ripley	Victor Meldrew
Peter Rabbit	Tweety Pie	 
Hedda Gabler	Dave Lee Roth	Cersei Lannister
Father Ted	Bertie Wooster	 
Saga Norén	Sherlock Holmes	Condoleezza Rice
Winnie the Pooh	Emily Dickinson	Erasmus
Willie Nelson	Barbra Streisand	Jeffrey Lebowski
Sinead O'Connor	Antonio Vivaldi	Ann Coulter
Beatrix Potter	Jane Goodall	David Byrne
Sterling Archer	Xena	Dorian Gray
Bob Belcher	Liz Lemon	Edward Hopper
Walt Longmire	Sam Spade	Sarah Connor
Eleanor Rigby	Tina Turner	Bruce Wayne
Mister Magoo	Imelda Marcos	"Matt ""Daredevil"" Murdock"
Joseph McCarthy	Noam Chomsky	Hedda Hopper
Offred	Jane Austen	Atticus Finch
Hedda Hopper	Lou Reed	Bette Davis
Roseanne Barr	Lenny Bruce	Amy Schumer
Steve Guttenberg	Bing Crosby	 
