Typical Activity	Reaction	Abilities	For	Against	Categories	Qualities	so	and	but
hosting anodyne game shows	laugh_at, tune_out	host, present, introduce	game shows, quiz shows, prizes		gameshow host, game show host, ganeshow presenter, game show presenter	anodyne, charming, unchallenging, smarmy	are_rewarded_by	ask_questions_for	
hosting automotive shows	laugh_at, tune_out	host, present, introduce	cars, automobiles, 		TV host, TV show host, TV presenter, TV show presenter, car enthusiast, driver, automobile enthusiast, gearhead, gear head	greasy	are_driven_around_by	drive_for, travel_with	are_lectured_by, preach_to
hunting aliens	admire, respect, champion	hunt, track, track down	UFOs, flying saucers, cattle mutilations, aliens	alien invasion,	alien hunter, alien investigator, UFO hunter, UFO investigator	credulous, open-minded, openminded	are_guided_by	are_mentored_by, kill_for, are_trained_by	are_stalked_by, stalk
hunting demons	admire, respect, champion	hunt, track, track down, slay, kill, destroy, exorcise, exorcize	exorcism, holy water, holy oil, crucifixes, silver bullets, wolfsbane, wooden stakes	demons, ghosts, evil spirits, satan, satanism, devil worship, evil	demon hunter, demon slayer, monster hunter, exorcist	ruthless, tenacious, brave, fearless	are_guided_by	are_mentored_by, kill_for, are_trained_by	are_stalked_by, stalk
hunting monsters	admire, respect, champion	hunt, track, track down, slay, kill, destroy	crucifixes, holy water, silver bullets, holy oil, lore, ancient lore	monsters, monstrosities, freaks, demons, beasts, vampires, werewolves, ghouls, zombies	monster hunter	ruthless, tenacious, brave, fearless	are_guided_by	are_mentored_by, kill_for, are_trained_by	are_stalked_by, stalk
hunting rabbits	laugh_at, criticize	hunt, trap, catch	hunting	rabbits	rabbit hunter, hunter	timid	are_guided_by	are_mentored_by, kill_for, are_trained_by	are_stalked_by, stalk
hunting raccoons	laugh_at, criticize	hunt, trap, catch	hunting	raccoons, coons	rabbit hunter, hunter	timid, meek	are_guided_by	are_mentored_by, kill_for, are_trained_by	are_stalked_by, stalk
hunting serial killers	admire, respect, look_up_to	hunt, trap, catch, track, track down, arrest, capture	hunting, clues, profilers, manhunts, man hunts, criminal profiles, behavioral science, behavioral profiles, victimology, behavioural profiles, detective work, unsubs	murderers, serial killers, spree killers, spree killings, homicide, murder	mind hunter, criminal profiler, behavioral analyst, behavioural analyst, mindhunter, profiler	determined, 	are_guided_by	are_mentored_by, report_to, answer_to, are_dispatched_by, kill_for are_trained_by, ask_questions_for	are_stalked_by, stalk, are_hunted_by
hunting wabbits	laugh_at, joke_about	hunt, trap, catch	hunting	wabbits, rabbits	rabbit hunter, hunter	timid, lisping	are_guided_by	are_mentored_by, kill_for, are_trained_by	are_stalked_by, stalk
impersonating women	defend, laugh_at, mock, taunt, heckle, 	impersonate, mimic, imitate, pass for, dress as, dress up	impersonation, mimicry, crossdressing, cross dressing, transvestism, transvestites	business suits	female impersonator, crossdresser, cross dresser, transvestite	camp, fey, unmanly	dress, style_for		are_impersonated_by, impersonate
incurring debts	pity, sympathize_with	borrow, borrow money	credit, buying on credit, credit cards, loans	debt, bankruptcy, 	debtor, borrower	in debt, spendthrift	are_begged_by, lend_to, borrow_from	seek_advice_from, confer_with, consult_with	are_refused_payment_by
instigating rebellion	harden_toward, disagree_with	foment, instigate, fuel, stoke, incite	rebellion, revolution, insurrection, dissent, uprising	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression, control, censorship	rebel, rebel leader, revolutionary, 	subversive, rebellious, revolutionary,	are_inspired_by,	are_roused_by,  are_motivated_by, are_energized_by	topple
instilling fear in the enemy	admire, defend	instill, scare, frighthen, terrify, terrorize, terrorise	fear, terror, force, power, firepower, fire power, shock and awe, propaganda	enemies, foes, 	bete noir, bête noire, bogey man, bogyman, bogeyman, bogy man	frightening, scary, terrifying	learn_from, fight_with		betray, are_betrayed_by, turn_against, are_disgusted_by, are_shocked_by
insulting celebrities	laugh_at, agree_with, defend	insult, razz, belittle, demean, humiliate, defame, libel, slander, mock, make fun of , ridicule	wit, snark, humor, satire, parody, humour	celebrities, movie stars, fame, bigwigs	critic, pundit, celebrity critic, celebrity pundit, celebrity pundit, celebrity watcher, celebrity follower	sharp-tongued, critical, mean, mean-spirited, cutting, biting	speak_for, speak_through	identify_with	are_misrepresented_by
insulting minorities	insult, criticize, despise, resent, harden_toward, hate, 	insult, bemoan, belittle, demean, humiliate, ridicule	bigotry, racism, xenophobia, intolerance, white supremacy, white power	minorities, tolerance, acceptance, diversity	racist, xenophobe, bigot	intolerant, xenophobic, racist	speak_for, speak_through	identify_with	are_misrepresented_by
interpreting evidence	respect	interpret, make sense of	clues, forensics, interpretation, analysis, evidence	evidence tampering, red herrings	analyst, forensic analyst	analytical	seek_advice_from, are_mentored_by	consult_with, confer_with	disagree_with, are_contradicted_by
interviewing celebrities	listen_to, trust	interview, interrogate	interviews, tough questions, face time, celebrities, movie stars, 		celebrity pundit, celebrity watcher, celebrity follower, interviewer	fawning, sycophantic, unchallenging	ask_questions_for		interview, are_interviewed_by
interviewing politicians	listen_to, trust	interview, interrogate	politicians, interviews, tough questions, 	softball questions, soft ball questions	political pundit, pundit, political interviewer, political reporter, interviewer, talking head	political, challenging, pointed, questioning	ask_questions_for		compete_against
introducing cartoons	laugh_at	host, introduce	cartoons, animation		master of ceremonies, MC, emcee, host, TV host	cheery, amiable, unthreatening	are_introduced_by		
inventing electrical marvels	admire, respect, look_up_to	invent, innovate	electricity, invention, innovation, science, technology, breakthroughs, miracles, 	luddism, luddites	pioneer, technology pioneer, tech pioneer, inventor, innovator, scientist	inventive, pioneering, brilliant, innovative	are_inspired_by, look_up_to	study, admire	are_copied_by, are_imitated_by, are_sued_by
inventing new confectionary	respect, admire	invent, innovate, confect, concoct	confectionary, candy, sugar, chocolate, sweets, sugar rush	cavities, toothache, diabetes, diets	confectioner, candy man, candyman	cheery, amiable, unthreatening	cook_for	are_rewarded_by	lose_favor_with
inventing new technologies	admire, respect, look_up_to	invent, innovate	invention, innovation, science, technology, tech	luddism, luddites	pioneer, technology pioneer, tech pioneer, inventor, innovator, scientist	inventive, pioneering, brilliant, innovative	are_inspired_by, look_up_to, pitch_at	study, admire	are_copied_by, are_imitated_by, are_sued_by
inventing superheroes	admire, respect, champion	invent, imagine	superheroes, comic books, comics, alter egos, fantasy, secret identities, supervillains, superpowers, super powers, secret abilities, capes, special abilities, 	everyday life, the real world	comicbook writer, comic writer, comic book writer	imaginative, superlative	are_inspired_by, look_up_to, admire	read_the_works_of, are_mentored_by	are_copied_by, are_imitated_by, are_sued_by
inventing time machines	respect, admire	invent, engineer, create, time travel, travel in time, visit the past, see the future	time travel, time machines, 	paradoxes, time loops	pioneer, technology pioneer, tech pioneer, inventor, innovator, scientist	inventive, pioneering, brilliant, innovative	are_accompanied_by	travel_with	
investigating alien abductions	support, 	investigate, debunk, unmask, uncover, probe	UFOs, flying saucers, cattle mutilations, aliens	alien abductions, aliens, alien invasion	alien hunter, alien investigator, UFO hunter, UFO investigator	credulous, open-minded, openminded	ask_questions_for	are_mentored_by, are_trained_by, are_guided_by	are_abducted_by
investing in real estate	resent, distrust	invest, make money, get rich, make thousands, make millions	real estate, property, investments, mortgages	property crash, property bubble	realtor, real estate tycoon, real estate investor, land speculator, property tycoon, property speculator, capitalist, opportunist, speculator	rich, wealthy, capitalist, speculative, opportunistic	invest_in, finance, fund	buy_from, sell_to	are_defrauded_by, are_sued_by, are_cheated_by
investing money	admire, respect, believe_in	invest, make money, get richmake thousands, make millions	investments, investment advice, stocks, equities, bitcoin, cryptocurrencies, crypto-currencies, blue chips, small caps, big caps, large caps, Fortune 500, Nasdaq, NYSE, futures exchange, stock market	market crashes, market corrections	capitalist, opportunist, speculator, investor, venture capitalist	rich, wealthy, capitalist, speculative, opportunistic	invest_in, finance, fund		are_defrauded_by, are_cheated_by
issuing fatwas	resent, dislike, hate, disagree_with, criticize, attack	condemn, denounce, excommunicate,	fatwas, Islam, fundamentalism, fundamentalists, 	apostasy, infidels, heresy, blasphemy, heretics, blasphemers	ayatollah, imam, religious leader	fundamentalist, religious, intolerant	pray_with, worship_with		are_indoctrinated_by, are_brainwashed_by, preach_to, are_censured_by, lose_faith_in
issuing threats	resent, dislike, hate, disagree_with, criticize, attack	threaten, intimidate, frighten	threats, intimidation, menaces, thuggery		intimidating person, bully	intimidating, threatening, forceful	threaten_with, intimidate_with		fear, are_threatened_by, anger
judging legal cases	admire, respect	judge, review, evaluate	justice, law, rule of law, law and order, judgment, judgement, courtrooms, court rooms	kangaroo courts, mob justice	judge, presiding authority, legal authority	legalistic, presiding, sitting in judgement, sitting in judgment	argue_before	ask_questions_for	are_judged_by
jumping on couches	laugh_at, joke_about	rouse, excite	exuberance, love, infatuation, excitement		jitterbug, jitter bug, jumping jack, loon	fiesty, upbeat, irrepressible	are_impersonated_by, are_copied_by, mimic, impersonate	are_roused_by,  are_motivated_by, are_energized_by	are_driven_mad_by
jumping over buses on motorbikes	admire, respect	thrill, excite, dare, jump the shark	stunts, spectacle, motorcycle stunts, 		stuntman, stunt man, daredevil	daring, bold, brave, foolhardy, reckless	are_inspired_by, compete_with, are_challenged_by	are_driven_around_by	are_heckled_by, are_booed_by
keeping a diary	admire	record, note, remember, keep a diary	diaries, reflection, introspection, journals		diarist	private, reflective, introspective	write_about, are_chronicled_by	read_the_works_of, are_mentored_by	
keeping accounts		record, note, remember, do the books, manage the books	accountancy, bookkeeping, book keeping, ledgers, double entry		book keeper, tallyman, tally man, bookkeeper, accountant,	numerate, business-savvy, detail-oriented			are_examined_by, steal_from, are_defrauded_by
kicking ass	look_up_to, admire, praise	kick ass, punish, beat, beat up, pummel, kick butt	fighting, kicking, punching, 		hero, strong man, strongman, mover and shaker	belligerent, brutal, effective	fight_with	are_beaten_by	are_beaten_by
killing demons	admire, respect, defend, praise	slay, exorcise, exorcize, banish	exorcism, holy water, holy oil, crucifixes, silver bullets, wooden stakes	demons, ghosts, evil spirits, satan, satanism, devil worship, evil	demon hunter, demon slayer, monster hunter	ruthless, tenacious, brave, fearless	fight_with	kill_for	
killing for Mi6	admire, respect, defend	assassinate, take out	espionage, spying, gadgets, assassination, secret agents, undercover assignments, hit squads	SMERSH, KGB	spy, contract killer, killer, assassin, secret agent	deadly, efficient, lethal, stealthy	fight_with	kill_for	betray, are_betrayed_by, spy_on, are_monitored_by, take_aim_at, are_targeted_by
killing monsters	admire, respect, defend, praise	slay, exorcise, exorcize, banish, exterminate	exorcism, holy water, holy oil, crucifixes, silver bullets, wooden stakes	monsters, monstrosities, freaks, demons, beasts, vampires, werewolves, ghouls, zombies	demon hunter, demon slayer, monster hunter	ruthless, tenacious, brave, fearless	fight_with	kill_for	
killing murderers	admire, respect, defend	execute	execution, death penalty	murderers, serial killers, spree killers, spree killings, homicide, murder	vigilante, killer, executioner, hand of justice	ruthless, bloodthirsty, vengeful	grow_suspicious_of	kill_for	stalk, are_stalked_by, are_shocked_by
killing people in ingenious ways	fear, hate, admire	murder, torture, abort, terminate, kill, torment, dispose of	murder, serial killers, sadism, homicide, serial killing, torture porn, 		serial killer, killer, murderer, sadist, grim reaper	ingenious, clever, diabolical, sadistic, deadly, homicidal, murderous		kill_for	copy, are_copied_by, imitate, are_imitated_by
killing rival gladiators	admire, respect	defeat, conquer, triumph over, demolish, kill	combat, prize fighting, swords	rivals, 	gladiator, arena fighter, prize fighter	ruthless, effective, lethal, deadly, unbeaten	fight_with	train_with, are_trained_by	
killing teenagers	hate, despise, fear	murder, slash, prey on, stalk, pick off, 	murder, serial killers, sadism, homicide, 	teenagers, teens	serial killer, killer, murderer, child killer, childkiller, monster, ripper, 	monstrous, evil, wicked, murderous, deadly, lethal		are_corrupted_by	copy, are_copied_by, imitate, are_imitated_by
knocking out opponents	admire, respect, praise, compliment	knock out, knockout, knock down	boxing, pugilism, knockouts, knock outs, KO	opponents, rivals, opposition	boxer, pugiliist, gladiator, fighter, prizefighter, prize fighter, bruiser, brawler, tough guy, champion, heavyweight	tough, unbeaten, muscular, effective, winning	fight_with	train_with, are_trained_by, are_coached_by	fight_against
collecting rock samples		sample, collect, categorise, categorize	rocks, geology, rock formations, precious stones, rock samples		geologist, rock collector	observant, detail-oriented, fussy	study_under, learn_from	are_mentored_by	
laughing at God	disrespect, dislike	laugh at, scoff at, defy	blasphemy, heresy, atheism, heretics, blasphemers	God, religion, faith, dogma, creed	atheist, antichrist, heretic, blasphemer	heretical, blasphemous, irreligious			laugh_at, lose_faith_in, are_cursed_by
laughing maniacally	distrust, fear	laugh, chuckle, jeer, giggle, howl	laughing, laughter	rationality	joker, mad man, madman, loon, lunatic, maniac	crazy, demented, unhinged, unstable, maniacal, mad	are_entertained_by		laugh_at, joke_about, are_driven_mad_by
launching a war	resent, dislike, harden_toward	instigate, launch, incite, declare war, make war, wage war	war, warfare, battle, combat, regime change	peace, pacifism, diplomacy	war monger, warmonger, warhawk, war hawk, hawk, neocon, neoconservative	belligerent, bellicose, hostile, war-mongering, warmongering, militant	fight_with, are_inspired_by	topple, rebel_against	fight_against, lose_to
launching cultural revolutions	resent, dislike, harden_toward, criticize	launch, instigate, reimagine, deconstruct, overthrow	revolution, iconoclasm, radicalism, cultural revolution, new guard, new order	tradition, convention, orthodoxy, status quo, culture, middle classes, old guard	culture warrior, cultural revolutionary, culture critic, revolutionary, iconoclast	revolutionary, iconoclastic, radical, radicalizing	fight_with, are_inspired_by	topple, rebel_against	are_denounced_by, denounce
launching foreign wars	resent, dislike, harden_toward	instigate, launch, declare war, wage war	war, warfare, battle, combat foreign conquest	peace, pacifism, diplomacy, foreigners	war monger, warmonger, warhawk, war hawk	belligerent, bellicose, war-mongering, warmongering, militant	fight_with, are_inspired_by		fight_against, lose_to
launching hostile takeovers	resent, dislike, harden_toward, criticize	takeover, take over, acquire, assimilate, swallow	takeovers, take overs, mergers, acquisitions, power, control, controlling stake	SEC	tycoon, CEO, mogul	aggressive, controlling, hostile, acquisitive, covetous	tip_off, are_financed_by, invest_in	negotiate_with, negotiate_for	are_sued_by, compete_against
leading an exodus	admire, follow, support	shepherd, guide, save, walk out, quit	departure, exit, exodus	oppression, slavery	leader, saviour, savior, bellwether, shepherd	messianic	are_inspired_by	follow, are_guided_by, are_mentored_by	
leading armies into battle	admire, follow, support	command, fire up, rouse	war, warfare, battle, combat, victory, triumph, conquest 	retreat, surrender, defeat	general, commander	inspiring, commanding	fight_with, are_inspired_by		fight_against, lose_to
leading revolts	admire, follow, support	rebel, rebel against, overthrow, topple, rise against, rise up against	revolution, rebellion, dissent, insurgency, uprising	acceptance, peaceful protest	revolutionary, rebel, rebel leader, rebel scum	revolutionary, inspiring, inspirational radical, radicalizing, rebellious , idealistic	fight_with, are_inspired_by		fight_against, lose_to
leading revolutions	admire, follow, support, look_up_to	rebel, rebel against, overthrow, topple, rise against, rise up against	revolution, rebellion, dissent, insurgency, uprising	acceptance, peaceful protest, surrender, acquiescence	revolutionary, rebel, rebel leader, rebel scum	revolutionary, inspiring, inspirational radical, radicalizing, rebellious, idealistic	fight_with, are_inspired_by		fight_against, lose_to
leading the rebel alliance	admire, follow, support, look_up_to	resist, inspire, lead, dissent, rise up	revolution, rebellion, struggle, 	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression, empire, imperial stormtroopers,  imperial storm-troopers, 	revolutionary, rebel, rebel leader, rebel scum	revolutionary, inspiring, inspirational radical, radicalizing, rebellious , idealistic	fight_with, are_inspired_by		are_betrayed_by
flipping hamburgers	sympathize_with, pity	fry, cook, grill, cook for	hamburgers, cheeseburgers, fast food	tofu	fry cook, hamburger chef, cook	menial	work_with, cook_for		compete_with
frying crabby patties		fry, cook, grill, cook for	crabby patties, fast food, 	tofu	revolutionary, rebel, rebel leader, rebel scum	revolutionary, inspiring, inspirational radical, radicalizing, rebellious 	cook_for		devour, starve
leading tour groups	joke_about	lead, educate, inform, entertain	tourism, tourists		group leader, tour leader, travel agent, shepherd		are_escorted_by, accompany	answer_questions_from, are_guided_by	are_contradicted_by
leaking classified documents	criticize, disrespect, distrust	leak to, blow the whistle, betray, reveal	openness, transparency, leaks, leaking	secrets, secrecy, military-industrial complex	leaker, leak, insider, whistle blower, whistleblower, sieve	revealing, informative, disloyal	leak_to, tip_off, are_corrupted_by		are_reported_by
leaking information	criticize, disrespect, distrust	reveal, leak, inform	openness, transparency, leaks, leaking	secrets, secrecy	leaker, leak, insider, whistle blower, whistleblower, sieve	revealing, informative, disloyal	leak_to, tip_off, are_corrupted_by		are_reported_by
