Typical Activity	Reaction	Abilities	For	Against	Categories	Qualities	so	and	but
abusing power	fear, resent, criticize, disrespect, denounce, renounce, condemn, disagree_with, hate, despise	abuse, force, enslave, exploit, take advantage of	autocracy, power, force, abuse of power, despotism, tyranny, dictatorships, undue force, unnecessary force	oversight, democracy, restraint	autocrat, tyrant, martinet, despot, dictator, bully	power-mad, power-hungry, autocratic, tyrannical, despotic	lead_astray, are_corrupted_by, conspire_with		are_reported_by, snitch_on, are_blackmailed_by, are_disillusioned_by, are_abused_by, abuse
acting off-off-Broadway	admire, joke_about, laugh_at, mock, heckle	act, portray, emote	acting, theatre, theater, 	Broadway	actor, thespian, luvvie	theatrical, histrionic	perform_with	learn_from	are_disrespected_by, are_heckled_by, upstage, are_upstaged_by
adopting children	admire, respect, look_up_to	adopt, foster, take on, take in, shelter, save	adoption, adoptees, orphans, children in need, foster parents, foster homes	orphanages	adoptive parent, foster parent	big-hearted	support		are_embarrassed_by, embarrass
advising on foreign affairs	admire, respect, support	advise, counsel, guide, mentor, influence, nudge, influence decisions, anticipate problems, exchange ideas	foreign affairs, diplomacy, foreign policies	domestic affairs, domestic policy	policy wonk, adviser, diplomat, ambassador	astute, wise, international		debate_with	disagree_with, undermine
amassing ill-gotten wealth	despise, resent, hate, condemn, renounce, denounce, curse, censure	enrich, become rich, make money, get rich	money, wealth, riches, gold, greed, bullion, Nazi gold, the wages of sin	sharing, moderation	tycoon, robber baron, mogul, greedy guts, kleptocrat	wealthy, rich, grasping, greedy, covetous	conspire_with		cheat, defraud, steal_from, are_reported_by, snitch_on
amassing nuclear weapons	despise, resent, hate, condemn, renounce, denounce, fear	weaponize, militarize, threaten, defend, arm, nuclearize	nuclear weapons, atom bombs, plutonium, uranium	denuclearization, converntional weapons, disarmament	villain, megalomaniac, nuclear power, superpower	megalomaniacal, insecure, villainous	conspire_with	are_financed_by, fund	are_threatened_by, are_intimidated_by
amassing wealth	despise, resent, hate, condemn, renounce, denounce, curse	enrich, become rich, make money, get rich	money, wealth, riches, gold, greed	sharing, moderation	tycoon, mogul, moneybags, moneybags	wealthy, rich, greedy			cheat, defraud, steal_from
amassing weapons	despise, resent, hate, condemn, renounce, denounce, fear	weaponize, militarize, threaten, defend, arm, nuclearize	weapons, power, force	disarmament	warmoinger, war-monger	power-mad, power-hungry, belligerent, bellicose, warlike	fight_with		are_threatened_by, are_intimidated_by
analyzing intelligence data	admire, respect, 	analyze, probe, understand	insight, big data, spying, intelligence data, classified intelligence 		intelligence officer, intelligence analyst	analytical, probing	listen_to	debate_with	disagree_with, undermine
analyzing murder scenes	admire, respect, 	solve, probe, analyze, investigate	clues, forensics, evidence, fingerprints,  footprints	murder, homicide, crime, mudereres	profiler, detective, cop, criminal profiler, mind hunter, mindhunter	observant, detail-oriented	listen_to	debate_with	disagree_with, undermine
analyzing the sub-conscious	admire, respect, look_up_to	understand, analyze, analyse, probe, uncover, hypnotize, hypnotise	psychotherapy, unconscious, dreams, subconscious, Freud, unconscious, sub-conscious, Oedipus, Freudian slips, psychoanalysis, deep analysis, psychotherapy, hypnotism, hypnotic suggestion, childhood trauma, trauma, dream analysis, dream symbols		therapist, shrink, headshrink, head shrink, psychiatrist, psychologist	probing, insightful	listen_to	debate_with	are_shocked_by
appearing in infomercials	tune_out, avoid, laugh_at	sell, persuade, inform, teach, guide, shill, shill for, demonstrate, give a demonstration	consumerism, advertising, advertizing, ads, infomercials		frontman, shill, spokesperson, spokesman	informative, patronising	sell_to	sell_through	are_marketed_by
appeasing belligerent dictators	pity, resent, hate, despise, mock, taunt, reject, stand_up_to	appease, cozy up, cosy up, please, butter up, flatter, 	appeasement, dictators	force, war, hostility, belligerence, aggression, 	appeaser, vassal, coward	spineless, supine, cowardly, weak, 	conspire_with		are_disgusted_by
applying science	admire, respect, compliment, agree_with	reason, experiment, theorize, experiment with, experiment on	science, technology, experimentation, human experimentation, scientific method	superstition, irrationality, pseudoscience, alchemy	scientist, researcher	scientific, logical, empirical, experimental	learn_from	debate_with	experiment_on
appreciating vintage collectibles	laugh_at	appreciate, appraise, evaluate	collecting, vintage, collectibles, mint condition, original packaging, antiques, antique shops, flea markets		collector, afficionado, nerd	organized, organised, appreciative	sell_to, evaluate_with	buy_from	are_deceived_by, steal_from, are_evaluated_by
apprehending criminals	admire, respect, look_up_to, praise	apprehend, catch, arrest, track, roundup, round up	clues, forensics, law, law and order, due process, arrest warrants, search warrants	criminals, crime, criminality	police man, detective, cop	determined, tenacious, righteous	support, trust		are_betrayed_by, lead_astray, are_corrupted_by, are_investigated_by
arguing against capitalism	disagree_with, agree_with, believe_in, reject	defeat, undermine, argue against, debate, bicker, debate with, argue with	communism, socialism, Marxism, collectivism, regulation	capitalism, consumerism, free markets, free trade	anti-capitalist, socialist, communist	anti-capitalist, anticapitalist	argue_with, disagree_with	debate_with	are_persuaded_by, are_denounced_by, denounce
eating Peking duck		eat, chomp, gobble	Chinese food, Peking duck, hoisin sauce, roast duck, smoked duck		gourmand	hungry	cater_to	cook_for	devour
squabbling on television	tune_out, ignore	argue against, appear on TV, debate, squabble, argue with, argue	argument, debate, punditry, pundits, talking heads		pundit, talking head, wonk, policy wonk, TV pundit	argumentative, petty	argue_with, disagree_with	debate_with, stand_up_to	are_persuaded_by, mock, are_mocked_by, are_denounced_by, denounce
arguing with political opponents	tune_out, ignore, joke_about, laugh_at, 	argue with, argue against, debate	argument, debate, politics, political opponents,  opponents, disagreement		policy wonk, pundit, politician, partisan, wonk	argumentative, political	argue_with, disagree_with	debate_with	are_persuaded_by, are_denounced_by, denounce
arranging dinner parties	love	socialize, socialise, mingle, host, hobnob, bring together	dinner parties, high society, polite society, cocktails, dinner at eight, evening dress, cocktail parties	fast food	host, socialite	sophisticated, urbane	cater_to, interact_with	cook_for, entertain	devour, are_disrespected_by, disrespect
arresting criminals	admire, respect, look_up_to, praise	arrest, apprehend, catch, round up	clues, forensics, law, law and order, arrest warrants, search warrants, arraignment	criminals, crime, 	cop, police man, police officer	righteous	support, trust	report_to, are_informed_by	are_betrayed_by, lead_astray, are_corrupted_by, are_investigated_by, are_unimpressed_by
arresting drug dealers	admire, respect, look_up_to, praise	arrest, apprehend, catch, round up, roundup	law, law and order, drug laws, drug enforcement	drugs, drug dealers, addiction, illegal drugs, drug pushers, drug lords, drug possession, possession of drugs	cop, police man, police officer	righteous	support, trust	report_to, are_informed_by	are_betrayed_by, lead_astray, are_corrupted_by, are_investigated_by
assassinating presidents	condemn, denounce, renounce, hate, despise	assassinate, kill, shoot, terminate, take out	assassination, assassins, dead presidents	presidents, democracy	assassin, malcontent, lone gunman	undemocratic	lead_astray, are_corrupted_by, conspire_with		are_reported_by, snitch_on, are_blackmailed_by, are_disillusioned_by, are_targeted_by
attacking consumerism	question, support, agree_with, praise, sympathize_with, respect	defeat, undermine, argue against, debate, 	regulation, consumer rights	consumerism, capitalism, big business, deregulation	anti-capitalist, socialist, communist	socially-conscious		debate_with	argue_with, disagree_with, are_attacked_by, 
attacking neighbors	resent, fear, hate, despise, criticize	punch, defend, assert, stand up to, push around, rampage	fences, isolation, boundary disputes, border disputes	neighbors, neighbours	bad neighbor, bad neighbour	unneighborly	threaten_with, intimidate_with, fight_with	defend, are_defended_by, fight_for	argue_with, disagree_with, are_attacked_by, 
attacking paparazzi	respect, sympathize_with, forgive	punch, defend, assert, beat, kick, run over	privacy, 	paparazzi, tabloid journalism, tabloid newspapers, tabloids, yellow journalism, invasion of privacy	celebrity, scandal magnet	irritable	testify_for	defend, are_defended_by	testify_against
attending cocktail parties		mingle, socialise, socialize, charm, schmooze, hobnob	cocktail parties, high society, polite society, cocktails, bling, society pages, martinis, small talk, chit chat		socialite	sophisticated, urbane	chat_with, drink_with	interact_with	spread_lies_about
attending cotillion balls	mock, laugh_at	dance, socialise, socialize, come out, 	cotillion balls, high society, polite society, debutantes, society pages, dance cards, ballroom dancing		socialite	sophisticated, urbane	chat_with, drink_with	interact_with	spread_lies_about
avenging loved ones	respect, sympathize_with, forgive, defend	avenge, get revenge, take revenge	revenge, vengeance, retribution, vendettas, payback	forgiveness	revenger, avenger	vengeful, avenging	kill_for		disillusion, are_disillusioned_by, are_shocked_by
avoiding eye contact	laugh_at, mock, taunt, distrust	look away, shy away	autism, shyness, isolation	eye contact		autistic, antisocial, shifty, anti-social, suspicious, shy	are_embarrassed_by, embarrass	avoid, tune_out	chat_with
avoiding growing old	admire, respect, look_up_to	stay young, not age, not grow old	youth, immortality, forever young	retirement, aging, growing old, old age	immortal, painting, statue	immortal, youthful, undying, ageless, frozen in time	play_with	joke_about	lecture_to, preach_to, are_bored_by, are_embarrassed_by, embarrass
avoiding responsibility	disrespect, mock, taunt, joke_about	avoid responsibility, chill, run away	recklessness, irresponsibility, immaturity, freedom, 	responsibility, maturity	slacker, ostrich	feckless, irresponsible, immature, lazy	accuse, are_accused_by		are_driven_mad_by
avoiding retirement	admire, agree_with, sympathize_with	work forever, not retire, stay at work, keep working, stay working, keep going	work, dedication	retirement, aging, growing old, old age, pensions	oldster, energizer bunny, energiser bunny, workaholic	relentless, unstoppable, tireless	work_with		sweat_for, labor_for, are_disrespected_by
avoiding taxes	resent, disrespect	avoid tax, pay no tax, live large, save thousands, save millions	tax cuts, tax shelters, tax loopholes, tax avoidance, offshore accounts, off-shore accounts, Cayman islands, Swiss banks	tax, taxes, taxation, 	tax avoider, tax evader, tax exile, tax cheat	business-savvy, corrupt	conspire_with		are_reported_by, snitch_on, steal_from
avoiding work	resent, disrespect	not work, avoid work, chill, relax, hang out, kick back, sit back, quit	leisure, slacking, relaxation	work, jobs, employment, responsibility	slacker, lazybones, lazy bones, idler, coach potato	shiftless, idle, slacking, lazy	play_with		exploit, take_advantage_of
barking orders at subordinates	despise, dislike, hate, criticize, tune_out	command, lead, control, bark, dominate, shout , bully	control, micromanagement, micro-management, dominance, slavery	trust, insubordination, morale	martinet, tyrant, despot, autocrat, boss, taskmaster, slave driver, task master, dictator	brusque, bossy, despotic, tyrannical	delegate_to		heckle, taunt, mock, are_mocked_by
battling the forces of darkness	admire, look_up_to, praise, respect, identify_with	fight, defeat, beat, conquer, battle, face	good, virtue, decency,light	evil, wickedness, darkness, malevolence	paladin, hero, jedi knight, jedi	moral, decent, heroic	fight_with	defend, are_defended_by	turn_against, betray, are_betrayed_by
beating menial staff	despise, dislike, hate, criticize,	command, lead, control, discipline, manage	violence, control, dominance, discipline, slavery, brutality	respect, insubordination, morale	tyrant, despot, autocrat, boss, taskmaster, slave driver, task master	brutal, bossy, pitiless, demanding, exacting, hard to please, tyrannical, despotic, pushy	threaten_with, intimidate_with	are_roused_by	are_disgusted_by, are_shocked_by
being a good neighbor	respect, admire, 	socialize, socialise, share	neighbors, neighbours	fences	good neighbor, good neighbour	neighborly, neighbourly	live_with	cook_for	spread_lies_about
nursing a messiah complex	fear, resent, pity, laugh_at, question	save, rescue, resurrect, 	control, power, omniscience, omnipotence, God complex, messiah complex		messiah, strong leader, shepherd, false prophet	delusional, messianic, narcissistic, egomaniacal	are_popularized_by, are_marketed_by	propagandize_for	disillusion, are_disillusioned_by, lose_faith_in, preach_to
belching	criticize, mock, chastise	burp, belch, disgust	burps, belches, indigestion	manners, politeness	vulgarian, pig, hog, warthog, slob	crude, crass, vulgar, uncouth, unsophisticated, boorish	laugh_at		disgust, are_disgusted_by
bending spoons	laugh_at, joke_about	bend, manipulate, impress	psychic powers, telekinesis, psychokinesis, mentalism, codswallop, hogwash, hucksterism	spoons, cutlery	psychic, mentalist, carnival attraction, huckster, spoon bender	psychic, phony	impress	are_popularized_by, are_marketed_by	are_unimpressed_by, disillusion, are_disillusioned_by, 
bending the law	forgive, defend, resent	break the law, bend the law, skirt the law 	vigilantism, vigilantes, spirit of the law	law and order, law, rule of law, letter of the law	crook, criminal, delinquent, scofflaw, maverick, loose cannon	unlawful, 	betray, distrust, are_distrusted_by, 	deceive, are_deceived_by	disillusion, are_disillusioned_by, lose_faith_in, preach_to
betraying friends	hate, despise, condemn, denounce, renounce, avoid, disrespect	ditch, betray, turn away, exploit, take advantage of	treachery, betrayal, exploitation, change of heart	friends, friendship, trust	traitor, ratfucker, rat fucker, bastard,  snake, serpent, viper, snake in the grass, turncoat	traitorous, treacherous, slippery, selfish	betray, distrust, are_distrusted_by, 	deceive, are_deceived_by	are_betrayed_by
biting opponents	fear, chastise, taunt	bite, attack, savage, maul, devour	biting, savagery, bestiality, flesh, fangs, bite marks	restraint, muzzles	savage, beast, biter, barbarian, rabid dog, wolf, bear, cornered animal, cornered beast, junkyard dog, junk yard dog	savage, bestial, barbaric, feral, wild, rabid, foaming at the mouth, frothing at the mouth	fight_with		disgust, are_disgusted_by, are_savaged_by
blanketing staff with memos	resent, dislike, disrespect	command, lead, control, manage, overwhelm	memos, memoes, micromanagement, micro-management, control	trust	boss, martinet, micromanager, micro-manager	bossy, controlling	communicate_with	write_to, report_to	preach_to
blowing bubbles	laugh_at, joke_about	blow, 	bubbles, soap bubbles, detergent		hippy, hippie	relaxed	play_with		are_bored_by
bodybuilding	admire, look_up_to, respect	work out, develop muscles, strengthen, man up, build muscle, bulk up, get fit	muscle, muscles, bodybuilding, weightlifting, weight lifting, weights, gyms, working out, barbells, gymnasiums, work outs, pecs, biceps	laziness, indolence, fat	bodybuilder, body builder, weightlifter, weight lifter, strongman	muscular, well-built	threaten_with, intimidate_with, compete_with	train_with, coach	are_intimidated_by, compete_against
breaking bones	fear, resent, hate, despise	threaten, intimidate, pulversize, pulverise, beat up, pummel, beat, smash, kick ass, trounce,	muscle, muscles, force, threats, intimidation, fisticuffs	bones, weakness	bone breaker, thug, strongman, bruiser	brutal, beastly	threaten_with, intimidate_with		are_intimidated_by, are_bullied_by
breaking heads	fear, resent, hate, despise	threaten, intimidate, pulversize, pulverise, beat up, pummel, beat, trounce,	muscle, muscles, force, threats, intimidation	weakness, insubordination	bone breaker, thug, strongman, bruiser, tough guy, henchman	brutal, beastly, thuggish	threaten_with, intimidate_with		are_intimidated_by, are_bullied_by
breaking records	admire, respect, look_up_to	break records, smash records, be the best, reach the top	records, medals, winning, victory	losing, loss, defeat	record breaker, champion, world beater, showboat, showoff, show off, show boat	record-breaking	compete_with	defeat, are_defeated_by	compete_against
brewing magican potions	curse, fear	cast spells, do magic, make magic, brew, concoct	magic, sorcery, necromancy	science	witch, magician, sorceror, mage, necromancer	magical	drink_with		enchant, are_enchanted_by
bridging cultures	admire, praise, compliment, support, 	bridge, connect, translate, interlink	multiculturism, multi-culturism, openness, freedom of movement, cultural exchanges	borders, isolationism, xenophobia	renaissance man	multicultural, multiracial, cross cultural	communicate_with, share_stories_with	debate_with	spread_lies_about, are_insulted_by, are_offended_by
brokering peace deals	admire, praise, compliment, support, 	broker, resolve, negotiate, agree	peace, diplomacy, pacifism, peace treaties, peace deals, non-proliferation, treaties	war	pacifist, peace maker, peacemaker	pacifistic, antiwar, anti-war	debate_with, negotiate_with		are_insulted_by, are_offended_by, distrust, are_distrusted_by
bugging political rivals	criticize, mock, chastise, fear, dislike	bug, overhear, spy, eavesdrop	bugging, spying, dirty tricks, wire-taps, secret recordings, Watergate	privacy	dirty politician, sneak, snoop	sneaky, cunning	conspire_with		spy_on, are_monitored_by
building airplanes	admire	build, construct, fly, glide	aircraft, air travel, airplanes, aerodynamics, aeronautics		aviation engineer	constructive	build_for, design_for, create_for	are_transported_by, fund, are_financed_by, invest_in	fail_to_deliver_for
building an army	admire, fear, distrust	militarize, strengthen, lead, command, recruit, muster	armies, war, recruitment, conscription, conscripts, war drive, war bonds	peace, diplomacy, pacifism, disarmament	general, militarist, chieftain, war monger, warmonger	militaristic, bellicose, warmongering, war-mongering	fight_with	govern_for, govern_via	fight_against, turn_against, are_toppled_by
building empires	admire, fear, distrust	consolidate, grow, encompass, swallow, dominate, rule, rule over, subjugate	empire, empire-building, power, dominance, imperial decrees	democracy, freedom	emperor, empire builder	acquisitive, imperial, imperious	fight_with	govern_for, govern_via	fight_against, turn_against, are_toppled_by
building giant walls	distrust, resent, mock, dislike, insult	protect, exclude, hide, isolate, repel, separate, keep out, erect	borders, isolationism, walls, tariffs, border security, barriers, exclusion, giant walls, border walls, border fences	multiculturism, multi-culturism, openness, freedom of movement, free trade, freetrade, immigration, immigrants	wall builder, protectionist	exclusionary, insecure, protectionist, defensive	build_for, design_for		cast_out, are_undermined_by, undermine
building houses for poor people	admire, respect, look_up_to, praise, compliment	house, shelter, provide for, build, build for, accommodate, erect, construct	homes, humanity, philanthropy, charity, habitat for humanity	poverty, homelessness	humanitarian, philanthropist	philanthropic, caring, socially-conscious	build_for, design_for	fund, finance	steal_from, cheat, defraud, are_defrauded_by
building replicants	criticize, denounce	clone, replicate, synthesize, engineer, copy	replicants, genetic engineering, cloning, science, artificial intelligence, AI, slavery, slaves, androids, Turing tests	ethics, 	mad scientist, scientist	scientific, megalomaniacal	build_for, design_for, create_for	fund, finance, invest_in	are_enslaved_by, experiment_on
building rocket ships	admire, look_up_to	fly, blast off, blastoff, soar, build	rockets, rocketry, space travel, space exploration, interstellar travel, warp drive, rocket fuel, lift off		mad scientist, scientist, rocket scientist	scientific, adventurous, intrepid	build_for, design_for	transport, are_transported_by, fund, finance, invest_in	are_abandoned_by, abandon
building a wooden ark	support, owe	float, survive, shelter, rescue, preserve, build	environmentalism, arks, shipbuilding, arks	floods, tsunamis, sea levels	shipbuilder, ship builder	prepared, apocalyptic	build_for, design_for	transport, are_transported_by, travel_with	are_abandoned_by, abandon
bullying neighboring countries	resent, criticize, attack, insult, fear	bully, dominate, overshadow, confront	bullying, force, threats, intimidation, invasion	diplomacy, peace, harmony	bully, jerk, blowhard	bellicose, belligerent	threaten_with, intimidate_with	propagandize_for	are_bullied_by
bullying schoolkids	resent, criticize, attack, insult, fear	bully, dominate, overshadow, confront, humiliate, crush	bullying, force, threats, intimidation, lunch money	friendship, tolerance, wimps	bully, jerk, blowhard	nasty, mean, pushy	threaten_with, intimidate_with		are_bullied_by, bully, prey_on
burning the wicked	fear, disrespect, satirize, despise	burn, punish, exorcise, exorcize, slay, flay, execute, put an end to	Spanish inquisition, religious intolerance, God's laws, public morality, public decency, auto da fe, auto da fé, witch hunts, witchhunts, public executions, witch trials	witches, witchcraft, satanism, evil, wickedness, thr dark arts, black magic, heresy	witchfinder, witch finder, puritan	self-righteous, fanatical	worship_with, pray_with		are_denounced_by, denounce, grow_suspicious_of
burning with envy	laugh_at, joke_about	copy, imitate, surpass, equal, match, go green	envy, jealousy, resentment, green-eyed monsters	acceptance	wannabe	envious, jealous	resent, undermine, 		are_resented_by
burping	criticize, mock, chastise	relax, chill, kick back, burp, belch	burps, belches, fast food, sodas, acid reflux	manners, politeness	vulgarian, slob,  hog, warthog, pig	crude, crass, vulgar, uncouth, unsophisticated	laugh_at		disgust, are_disgusted_by
bursting out of shirts	feel_sorry_for, 	grow, get bigger, develop muscles, strengthen, man up, build muscle, bulk up, hulk out	muscle, muscles, strength, pecs, biceps	shirts, tight clothing	berserker	muscular, barrel-chested	dress, style_for		are_intimidated_by
burying dead hamsters	feel_sorry_for, pity	grieve, get over, bury	pets, hamsters, pet cemetaries			grieving, mournful	pray_with		
buying on credit	disagree_with, question, 	acquire, buy, own, obtain, purchase, afford	credit, consumerism, shopping, retail therapy, credit cards, hire purchase, credit agreements	cash, repo men, repossessions, bankruptcy	debtor, modern consumer	in debt, indebted	lend_to, borrow_from	are_financed_by	steal_from, withhold_payment_from, are_refused_payment_by
campaigning for consumer rights	respect, support, agree_with, believe_in	reform, change, protect, advocate for, campaign, campaign for, sue	consumer rights, customer rights, warranties, consumer protection, class actions	capitalism, big business, cartels	campaigner, advocate, consumer advocate, consumer rights advocate	socially-conscious	advocate_for, campaign_for	debate_with	campaign_against, are_disillusioned_by, lose_faith_in
campaigning for democracy	respect, support, agree_with, believe_in, look_up_to, admire	promote, free, unchain, unshackle, liberate, campaign, campaign for	democracy,  free speech, freedom of expression, freedom of assembly, free elections, freedom of speech, first amendment, bill of rights	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression	democrat, campaigner, antitotalitarian, anti-totalitarian, antifascist, anti-fascist	progressive, democratic	advocate_for, campaign_for	debate_with	campaign_against, are_disillusioned_by, lose_faith_in
campaigning for environmental causes	respect, support, agree_with, believe_in, look_up_to, admire	save the world, save the planet, end global warming, stop global warming, campaign, campaign for	environmental causes, environmentalism, Greenpeace, air quality, clean air, clean water, green technology, clean energy, green energy, clean technology, ice caps, sea levels	pollution, carbon, greenhouse gases, global warming, climate change, fracking, big oil, oil spills, oil slicks	environmentalist, treehugger, tree hugger, vegan, conservationist	environmentally-conscious	advocate_for, campaign_for	debate_with	campaign_against
campaigning for social causes	respect, support, agree_with, believe_in, look_up_to, admire	change society, change the world, campaign, campaign for	social causes, social issues, society, social activism, voting rights, equal access	capitalism, big business, inequality, deprivation, poverty, social problems, homelessness, dispossession	humanitarian, social campaigner, activist, social activist	socially-conscious	advocate_for, campaign_for	debate_with	campaign_against
campaigning for the presidency	take_aim_at, distrust, question	become president, campaign, campaign for, run for president	presidential politics, the whitehouse, presidential primaries, primary elections, political speeches, political rallies, Oval office, presidential debates, political debates, presidency	impeachment,  special prosecutors	presidential candidate, politician, presidential hopeful	ambitious, political	advocate_for, campaign_for	debate_with	campaign_against
campaigning for the senate	take_aim_at, distrust, question	become a senator, represent, speak for, campaign, campaign for, run for the senate	the senate, senate politics, political speeches, political rallies, 		senate candidate, senator, senate hopeful, patrician, senator	senate material, patrician	advocate_for, campaign_for	debate_with	campaign_against, run_against
campaigning for world peace	respect, support, agree_with, believe_in, look_up_to, admire	save the world, save the planet, end war, bring peace, campaign, campaign for	world peace, peace on earth, peace, pacifism	war, destruction, warfare, enmity,	pacifist, peace maker, peacemaker	pacifistic, antiwar, anti-war	advocate_for, campaign_for	debate_with	campaign_against, run_against, are_disillusioned_by, lose_faith_in
recruiting dissidents	fear, resent, distrust, 	recruit, radicalize, unite	rebellion, revolution, dissent, radicalization	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression	subversive, dissident	subversive	conspire_with	delegate_to, propagandize_for	lose_faith_in
carrying secret plans	distrust	smuggle, spy, transport	secrecy, espionage, dead drops, tradecraft, spycraft, microfilm, microdots, secret plans	transparency, openness	courier, secret agent	secretive, clandestine, low-profile, 	transport, are_transported_by	trust, are_trusted_by	betray, are_betrayed_by
carving magnificent statues	admire, look_up_to, respect, 	carve, sculpt, create	sculpture, statues, sculpting, chisels, carvings		sculptor, stone artist	grandiose, grandiloquent, 	impress, are_impressed_by, create_for, pose_for	commission	
cashing checks		cash, get cash, get paid	money, wealth, banking, cashier checks, cheques	insolvency, bankruptcy, overdrawn accounts, rubber checks, rubber cheques, bounced checks, bounced cheques	cashier	solvent	lend_to, fund, finance	repay	cheat, defraud, steal_from
casting magic spells	fear, 	cast spells, do magic, make magic, summon demons, summon the devil, conjure	magic, sorcery, necromancy, spellbooks, hocus pocus, abracadabra, witchcraft, hexes, hex bags, voodoo, voodoo dolls	science, physics	magician, conjuror, necromancer, witch, warlock	magical, alchemical, unscientific	impress, are_impressed_by	learn_from, study_under	enchant, are_enchanted_by
causing mayhem	resent, fear, hate, despise, criticize	cause mayhem, destroy, ruin, break, devastate, cause trouble, cause trouble for, wreck, wreak	mayhem, destruction, chaos, disorder, carnage, trouble, devastation, ruination, ruin	peace, order, harmony	troublemaker, trouble maker, anarchist, bull in a china shop	troublesome, turbulent, violent, destructive	fight_with		cause_trouble_for
causing political scandals	laugh_at, joke_about, forgive, pity, disrespect, denounce	scandalise, scandalize, shock, dismay, outrage, disillusion	scandal, scandals, mischief, misbehavior, sensationalism, controversy, sensation	middle classes, bourgeoisie, public morality, public morals, tabloid news, tabloid newspapers, TMZ, yellow journalism, tabloids, tabloid journalism	scandalmonger, controversialist, sinner	scandalous, controversial, sinning, sinful, caught redhanded, caught red-handed	testify_for	defend, are_defended_by	testify_against
chain-smoking Gauloises Bleues	dislike	smoke, look smart, seem smart, blow smoke	smoking, cigarettes, lung cancer, rasping, coughing, French philosophy	non-smoking, smoke-free	chainsmoker, chain smoker, 	raspy, addicted, urbane	drink_with, chat_with	share_stories_with	
challenging artistic norms	admire, respect, identify_with	challenge, subvert, undermine, shock, surprise, innovate	novelty, newness, controversy, shock, innovation	orthodoxy, artistic orthodoxy, safe art, status quo	iconoclast, controversialist	iconoclastic, unconventional	impress, are_impressed_by, create_for,	pose_for	are_copied_by, are_imitated_by, copy, imitate
changing privacy settings	agree_with	hide, become invisible, hide from	privacy, security, Facebook, social media,	phishing, internet trolls, hackers, hacking, snooping		private, secretive	trust, are_trusted_by	share_stories_with	spy_on, are_monitored_by
changing sides	distrust, resent, condemn, reject, renounce, denounce	change, flip, betray, turn, turn against, change sides	treachery, betrayal, exploitation, about face	loyalty, constancy, steadfastness	turncoat	fickle, disloyal, inconstant	fight_with	propagandize_for	betray, are_betrayed_by
chasing a great white whale	pity, laugh_at, feel_sorry_for, identify_with	catch, chase, pursue, hunt, follow, find	whaling, obsession	environmental causes, environmentalism, whales	obsessive, whaler, sea captain, hunter, whale hunter, monster hunter	obsessive, obsessed, driven	are_guided_by	follow	are_stalked_by, are_hunted_by
chasing after women	criticize, laugh_at, chastise	woo, seduce, enthrall, sleep with, chat up	women, sex, seduction, wooing, lechery, nightclubs, online dating	celibacy	letcher, letch, lecher, womaniser, womanizer, lady's man, lounge lizard	libidionous, lecherous, lusty	compete_with		are_disgusted_by, are_shocked_by, compete_against
chasing rabbits	laugh_at	catch, chase, pursue	hunting, rabbit stew, rabbits	rabbits	rabbit hunter	obsessive, obsessed, driven	compete_with		compete_against, are_lured_by
chasing cats	laugh_at	catch, bell	furballs, fur balls	cats	dog	obsessive, obsessed, driven	compete_with		compete_against, are_lured_by
chasing criminals	admire, respect, look_up_to, praise	arrest, apprehend, catch	clues, forensics, law, law and order, search warrants	crime, criminals, criminality	cop, police officer	tenacious, relentless	intimidate_with	report_to, answer_to, are_dispatched_by	are_investigated_by, lead_astray, are_corrupted_by
chasing electronic ghosts	identify_with	catch, chase, feed on, exorcise, hunt down, hunt	power pellets, sprites, video games, computer games, video arcades, Atari	ghosts	ghost hunter, ghost buster, ghostbuster, sprite	insatiable, hungry	are_guided_by	follow	are_stalked_by, are_hunted_by
chasing interns	criticize, laugh_at, chastise, condemn	woo, seduce, enthrall, sleep with, entice	interns sex, seduction, abuse of power, office romances	celibacy	letcher, letch, lecher, womaniser, womanizer, lady's man, lounge lizard	libidionous, lecherous	are_facilitated_by, facilitate	share_stories_with, confess_to	lead_astray, are_corrupted_by, are_reported_by
chasing jellyfish	laugh_at	catch,	jellyfish		jellyfish hunter	playful	are_guided_by	follow	are_stalked_by, are_hunted_by
chasing murderers	admire, respect, look_up_to, praise, pray_for	arrest, apprehend, trap, outsmart	clues, forensics, law, law and order, search warrants, crime scenes	crime, criminals, criminality, murder, homicide, murderers	cop, homicide detective	driven, tenacious, relentless	look_up_to		are_investigated_by, lead_astray, are_corrupted_by, grow_suspicious_of
chasing old women	criticize, laugh_at, chastise, condemn	woo, seduce, enthrall, entice	old women, oldies, pensioners		ladykiller, lady killer	exploitative		share_stories_with	
chasing starlets	laugh_at, joke_about	woo, seduce, enthrall, sleep with, date, entice, 	starlets, sex, seduction, casting couches	celibacy, MeToo	letcher, letch, lecher, womaniser, womanizer, lady's man, lounge lizard, ladykiller, lady killer	libidinous, lecherous, lusty	are_facilitated_by, facilitate	share_stories_with	lead_astray, are_corrupted_by, compete_against
